v.id,on road old,on road now,years,km ,rating,condition,economy,top speed,hp,torque,buying price,profit 
1,781997,881997,10,72310,2,2,16,186,58,194,461803,6
2,553464,643464,9,72189,5,6,6,173,81,189,273747,14
3,1175130,1275130,10,74100,5,4,14,184,104,95,852711,11
4,884824,924824,4,34340,1,7,20,183,125,122,701224,11
5,412866,462866,5,48050,1,1,10,189,89,114,213995,3
6,412092,492092,8,67816,2,7,13,190,60,103,163189,12
7,759465,819465,6,47136,5,10,6,194,63,182,555778,18
8,595638,675638,8,71144,2,5,17,190,136,135,343575,10
9,366274,406274,4,33212,3,10,10,189,53,140,183407,15
10,301434,371434,7,63567,2,9,7,168,85,116,72581,14
11,753040,763040,1,8101,2,6,9,171,65,165,596702,9
12,1103430,1133430,3,22689,3,5,13,149,100,199,932262,9
13,1085782,1115782,3,29439,3,9,7,180,87,100,907544,15
14,329644,429644,10,78820,4,10,18,186,140,103,2120,16
15,660914,680914,2,14992,1,7,16,163,94,89,497654,9
16,1076485,1086485,1,8055,1,9,15,162,114,86,920029,11
17,482311,512311,3,26376,2,2,15,147,97,115,307808,6
18,372115,452115,8,62496,1,3,8,165,64,140,128967,6
19,506265,566265,6,43902,2,3,13,170,62,157,306612,6
20,533869,563869,3,24519,1,6,7,154,107,82,360956,9
21,1067635,1137635,7,63175,1,4,7,147,122,139,839678,7
22,345622,365622,2,17560,5,10,14,194,65,130,179255,18
23,1007772,1017772,1,7189,3,7,18,157,125,198,852182,11
24,1182837,1282837,10,72590,3,6,11,194,79,170,861928,12
25,952984,1012984,6,51528,4,5,20,199,138,177,745361,12
26,385779,445779,6,50472,3,3,8,163,104,156,179467,8
27,1181472,1221472,4,34648,3,7,10,153,79,148,997400,11
28,313814,353814,4,38256,4,3,12,184,60,147,126383,10
29,773350,803350,3,26010,3,9,20,170,65,132,598541,13
30,699853,719853,2,18834,5,3,19,185,62,108,532751,10
31,1007865,1027865,2,14632,4,1,17,182,113,189,845226,6
32,993560,1033560,4,39464,5,2,6,176,133,149,804921,10
33,773279,793279,2,19970,1,6,20,160,111,104,605126,10
34,939643,1019643,8,73216,4,8,14,195,105,127,685103,15
35,987433,1077433,9,87426,2,8,13,189,140,195,692558,12
36,1151449,1231449,8,79256,2,6,11,141,58,116,891189,9
37,926227,996227,7,69685,3,3,17,142,90,119,691671,8
38,402018,472018,7,50652,4,4,11,156,71,112,186323,10
39,822699,862699,4,31468,3,9,8,169,80,110,641651,14
40,926577,966577,4,31948,1,1,20,157,70,174,745909,3
41,921550,961550,4,35008,5,6,19,145,135,152,737039,12
42,392186,422186,3,29364,3,2,9,166,64,120,214604,8
43,486233,566233,8,65496,1,3,11,186,93,117,240085,6
44,600002,700002,10,81090,2,5,14,158,56,80,270761,9
45,614140,674140,6,47706,2,7,6,165,115,134,410339,10
46,639388,649388,1,7863,4,7,6,147,129,200,483045,13
47,1104191,1194191,9,76266,4,3,15,183,90,126,820725,8
48,715773,815773,10,87540,2,5,16,163,113,199,380082,10
49,375008,475008,10,79810,1,8,6,160,65,138,46879,10
50,1041554,1051554,1,7264,2,8,15,156,132,200,885889,12
51,313044,413044,10,89610,2,9,18,150,80,132,-25045,14
52,1151768,1161768,1,7803,4,9,7,145,60,194,995333,14
53,804390,834390,3,26808,3,1,15,172,99,127,629455,7
54,336123,396123,6,45300,2,10,10,199,114,196,134491,15
55,1127527,1137527,1,8017,4,10,16,153,88,196,970805,15
56,377234,417234,4,30008,5,10,19,145,69,106,197427,17
57,357816,437816,8,75816,3,2,10,167,74,126,101257,8
58,430202,530202,10,74440,3,3,6,164,102,165,107698,9
59,301506,391506,9,73134,2,8,18,177,89,90,20923,11
60,486187,496187,1,9476,3,7,15,146,67,81,328310,11
61,1078691,1088691,1,7876,5,3,18,165,114,197,922578,11
62,350495,450495,10,78050,5,4,8,140,103,122,24126,12
63,458245,478245,2,16956,5,9,13,158,65,84,292553,17
64,1007884,1077884,7,57659,1,8,20,155,89,110,785099,12
65,930823,970823,4,31736,4,7,12,188,92,98,749584,12
66,629821,709821,8,59608,2,9,12,161,131,127,388966,14
67,883169,913169,3,22989,2,3,10,160,54,155,711962,8
68,465224,515224,5,44440,5,4,17,187,62,195,269340,11
69,1171658,1271658,10,90190,5,5,10,149,133,163,833068,13
70,561176,591176,3,23955,3,1,18,175,98,172,389094,7
71,311857,361857,5,35710,5,10,6,188,116,161,124247,16
72,455629,475629,2,19642,3,10,6,197,99,193,287324,16
73,830692,920692,9,63306,3,4,9,200,139,80,560186,9
74,403057,443057,4,35276,2,9,8,175,93,140,218278,13
75,658863,708863,5,38130,2,6,7,188,67,86,469372,11
76,1164875,1204875,4,32736,1,10,19,178,88,200,982636,13
77,406431,466431,6,42750,2,8,15,187,108,90,207505,13
78,943155,993155,5,38170,2,4,7,197,72,198,753796,8
79,968196,988196,2,15130,1,3,20,148,130,160,805150,6
80,770921,860921,9,74412,4,3,11,178,131,152,489309,10
81,779933,859933,8,75688,5,4,16,163,83,159,523158,11
82,1078803,1128803,5,47080,4,7,11,168,100,87,880119,13
83,549626,629626,8,72240,1,4,18,142,129,187,296643,7
84,961479,1061479,10,76080,1,2,7,190,52,122,637608,4
85,564344,614344,5,44315,1,10,7,162,110,137,368425,12
86,306993,356993,5,45710,4,2,17,152,79,163,110094,7
87,741935,841935,10,76730,3,9,17,166,73,146,416649,15
88,1086004,1176004,9,70353,1,5,6,182,139,86,808538,8
89,626514,646514,2,17308,5,10,12,177,92,113,460399,17
90,503325,523325,2,15692,5,1,7,140,84,117,339537,8
91,886392,966392,8,70296,2,7,20,149,69,157,635009,12
92,969964,1039964,7,69125,2,3,10,144,130,86,736057,6
93,1008513,1058513,5,45810,2,9,15,182,140,146,811099,13
94,475858,525858,5,45000,2,4,13,183,92,113,279669,8
95,439057,499057,6,45504,4,9,8,160,138,138,237146,16
96,874385,894385,2,19076,3,6,17,176,62,104,706958,11
97,612799,642799,3,23817,1,4,17,142,92,102,440764,8
98,485686,535686,5,38000,4,5,18,157,75,172,296242,10
99,1061242,1121242,6,59250,2,6,18,169,102,83,845980,10
100,534070,634070,10,92080,3,1,9,155,127,102,194106,6
101,364875,384875,2,14672,5,10,11,183,93,179,201396,17
102,734601,784601,5,43735,5,1,14,196,92,138,539677,9
103,1157743,1197743,4,34880,1,9,15,180,79,146,973439,11
104,386101,396101,1,9281,2,4,9,194,112,95,228755,8
105,355989,435989,8,58176,4,6,7,182,69,103,116645,13
106,940473,1020473,8,70048,2,3,11,197,50,169,689682,6
107,878091,918091,4,31300,3,6,9,183,92,113,697448,10
108,1011088,1061088,5,47850,4,1,19,184,67,146,812138,7
109,1051507,1151507,10,75630,2,1,19,146,75,130,728086,5
110,585925,615925,3,21219,3,6,18,157,87,114,416144,11
111,801680,901680,10,71250,4,7,8,198,138,167,481951,13
112,946085,1036085,9,78390,3,5,8,142,136,178,660410,9
113,982978,992978,1,9565,3,5,11,199,113,163,825176,9
114,708996,718996,1,8664,3,5,11,167,58,177,552095,9
115,613430,693430,8,62808,4,1,7,141,107,107,369879,6
116,565620,655620,9,64314,3,5,15,153,60,123,294021,10
117,951940,991940,4,30544,3,7,11,180,87,133,771972,11
118,778595,838595,6,57708,2,9,6,170,119,197,564632,14
119,676237,766237,9,88443,4,1,17,185,96,158,380770,6
120,854394,934394,8,72400,2,2,14,158,62,136,601342,7
121,532765,592765,6,51750,5,3,9,152,131,88,325003,11
122,1004483,1084483,8,62112,2,6,8,174,132,184,761367,9
123,348213,438213,9,72018,4,7,6,163,89,151,68667,13
124,1060938,1150938,9,75996,1,6,14,185,117,135,777742,10
125,894037,974037,8,57072,3,2,20,164,81,131,656222,7
126,1180337,1270337,9,77796,1,3,12,160,119,86,895608,7
127,427816,517816,9,88695,4,6,19,197,72,164,131672,13
128,680378,710378,3,23619,3,3,17,178,88,200,508452,8
129,856169,946169,9,80631,2,8,8,180,120,93,568089,13
130,876790,906790,3,22287,2,7,6,144,53,122,705941,12
131,634968,664968,3,22644,2,10,13,142,128,185,463525,15
132,434048,474048,4,35104,1,3,9,197,55,142,250036,6
133,690323,720323,3,23256,5,8,9,147,115,167,518193,15
134,496646,596646,10,73210,1,5,20,180,86,131,175372,7
135,676411,706411,3,27126,5,2,13,154,69,110,500891,9
136,567307,627307,6,50298,5,2,6,154,76,111,361082,10
137,1080620,1180620,10,73500,3,1,12,194,83,175,759236,5
138,655946,735946,8,64328,2,10,17,160,116,112,410294,13
139,304143,314143,1,7476,2,3,20,144,135,200,148691,8
140,908975,978975,7,49812,1,4,13,176,103,130,694381,7
141,412276,502276,9,78417,2,8,18,161,89,178,126410,11
142,794085,824085,3,24363,2,4,7,162,110,163,621415,8
143,979713,1079713,10,92190,5,1,6,196,81,98,639459,7
144,659430,689430,3,21714,1,5,16,162,65,119,489409,8
145,465910,525910,6,45888,1,4,9,179,59,91,264271,8
146,582024,592024,1,7146,4,4,10,169,137,177,426641,11
147,696478,716478,2,16992,4,7,11,194,89,180,530975,13
148,982068,1042068,6,56364,3,6,6,165,133,148,769609,12
149,696321,726321,3,22605,2,3,18,159,120,186,525498,8
150,938062,1008062,7,56714,4,2,14,152,100,138,716477,7
151,1172863,1242863,7,64155,4,4,6,198,135,163,943665,9
152,1117451,1137451,2,18884,3,5,15,156,97,173,950299,11
153,1125430,1225430,10,86640,3,2,6,143,70,185,790815,8
154,462864,522864,6,58716,2,1,15,183,61,184,248581,5
155,645994,665994,2,15676,4,2,12,152,60,140,482222,7
156,348120,398120,5,36545,1,5,14,142,117,96,160386,8
157,876946,946946,7,50792,4,7,16,168,119,194,660868,14
158,638308,648308,1,7224,1,7,9,153,94,124,482847,11
159,459326,519326,6,55050,1,10,15,161,114,106,248021,13
160,1125707,1205707,8,73016,3,8,7,181,112,179,871444,14
161,446147,536147,9,69768,1,10,19,145,120,178,168851,13
162,964055,1044055,8,63984,4,5,8,198,135,185,718984,11
163,1024269,1054269,3,25467,5,2,20,150,140,109,850408,10
164,721757,781757,6,57888,3,9,6,183,72,198,507537,13
165,371895,421895,5,37000,1,8,8,173,69,90,183451,12
166,1106275,1196275,9,63540,2,6,13,200,139,179,835450,9
167,620655,650655,3,26067,4,2,15,199,55,89,446281,9
168,376213,396213,2,19808,2,9,20,157,55,119,207894,13
169,914663,1004663,9,76563,3,5,20,146,55,185,630815,9
170,867444,927444,6,46356,3,8,13,170,90,193,664833,13
171,767667,807667,4,37372,1,3,13,199,139,141,581387,6
172,660163,740163,8,61336,3,4,11,164,130,172,417908,10
173,505335,555335,5,37815,3,9,12,188,75,88,315839,14
174,857265,887265,3,25755,5,5,14,169,140,124,682867,13
175,566755,596755,3,26064,5,8,20,199,137,148,391817,15
176,632991,722991,9,78570,1,9,8,175,117,107,346972,13
177,454103,484103,3,22575,5,7,17,143,128,118,282729,15
178,785403,825403,4,38184,2,9,10,182,69,80,597716,14
179,870938,900938,3,27312,5,9,10,149,101,89,694679,15
180,699394,749394,5,45635,4,8,12,171,54,152,502078,13
181,394402,464402,7,67424,3,5,14,200,107,168,161935,10
182,776310,786310,1,9949,3,3,6,183,133,128,618296,7
183,553666,563666,1,9776,1,9,20,180,105,194,395489,13
184,1148466,1198466,5,45965,1,1,9,195,122,162,951680,4
185,495055,545055,5,38870,4,2,12,156,54,152,304996,9
186,331984,421984,9,73809,1,2,20,178,51,89,51335,4
187,1016274,1076274,6,56970,2,2,11,196,58,119,803644,6
188,996201,1036201,4,30636,1,8,11,156,126,159,816222,12
189,591040,621040,3,27006,5,8,13,171,130,122,415160,16
190,425257,435257,1,9354,4,2,14,200,53,173,267838,7
191,1185319,1255319,7,51856,3,3,16,179,126,167,968592,8
192,902119,942119,4,29420,2,2,15,196,125,162,723791,6
193,477975,547975,7,61600,4,2,8,197,138,107,251504,8
194,661040,701040,4,28860,5,10,14,188,112,135,482381,16
195,827029,847029,2,19642,5,9,7,180,110,121,658651,15
196,726470,746470,2,16650,1,1,18,193,86,135,562092,4
197,861611,891611,3,26010,5,6,8,193,66,121,686879,13
198,1109259,1209259,10,84380,5,7,18,154,140,113,776323,14
199,577942,587942,1,8288,4,7,15,140,119,171,421174,12
200,727612,777612,5,48480,1,7,13,179,138,174,527771,10
201,740952,750952,1,8897,5,7,10,179,74,138,583498,13
202,1075731,1135731,6,43134,3,8,13,159,83,129,876342,14
203,576109,596109,2,14012,1,6,19,177,137,156,413914,9
204,607312,627312,2,18562,3,1,16,178,138,121,440834,5
205,715896,775896,6,45210,5,7,18,177,117,81,514354,13
206,691666,731666,4,30320,2,1,6,190,125,105,512531,4
207,378168,478168,10,83460,2,2,16,171,71,181,46824,5
208,407616,507616,10,80370,1,4,20,173,116,160,79271,7
209,313347,353347,4,30460,1,7,8,176,107,86,133627,9
210,366535,396535,3,23931,4,5,15,178,104,104,194042,11
211,409185,479185,7,61894,2,7,17,179,101,149,182165,11
212,1124652,1204652,8,76744,3,9,10,170,57,189,866584,13
213,339787,419787,8,72968,2,5,13,170,109,136,85900,10
214,788783,798783,1,8976,2,6,17,151,75,112,631570,10
215,850740,940740,9,88839,3,9,8,152,94,176,554296,14
216,705051,775051,7,61334,3,1,6,187,74,180,479026,7
217,418460,468460,5,45540,5,4,7,195,102,189,221476,12
218,385770,455770,7,58107,4,2,11,171,86,197,162792,7
219,526473,576473,5,43200,4,2,8,147,65,108,332084,7
220,716367,806367,9,75987,5,5,13,154,109,183,432931,13
221,900692,980692,8,66592,1,3,18,168,126,178,653448,5
222,362733,462733,10,83750,2,9,7,161,112,112,30504,14
223,659205,759205,10,70320,1,10,7,175,79,128,340406,14
224,1020849,1110849,9,82467,2,7,12,153,90,141,731014,12
225,980518,1050518,7,52577,1,5,7,188,60,140,763070,7
226,533083,603083,7,50575,2,7,8,157,94,158,317382,10
227,1118074,1138074,2,16732,1,5,17,176,132,135,953246,8
228,815919,825919,1,9719,1,7,11,174,123,106,657963,10
229,548201,638201,9,70452,3,9,6,150,68,133,270144,13
230,810866,890866,8,62288,2,5,13,165,103,194,567659,9
231,825330,925330,10,96510,4,3,17,184,91,104,480669,10
232,613123,683123,7,58128,1,4,11,150,123,145,390213,7
233,659018,689018,3,24174,5,4,11,156,113,115,486282,11
234,1194968,1294968,10,91950,3,7,18,164,131,145,854618,13
235,876177,896177,2,17738,3,10,13,200,53,113,709776,14
236,1182703,1242703,6,55908,5,2,15,158,134,101,970868,8
237,1067864,1137864,7,63854,5,10,7,150,81,104,838428,16
238,951141,991141,4,33080,3,4,9,189,72,155,768886,10
239,509203,569203,6,51420,5,3,6,187,67,189,301771,10
240,1181213,1191213,1,9957,4,3,16,186,73,129,1023104,8
241,770751,840751,7,62006,5,1,14,178,66,92,543874,9
242,620047,660047,4,35440,2,2,20,187,53,175,435699,7
243,556128,566128,1,8916,2,8,6,155,98,138,398811,13
244,1164746,1254746,9,80064,3,1,6,182,67,141,877749,7
245,1013294,1093294,8,56544,2,5,13,167,94,172,775831,10
246,655357,675357,2,15012,4,10,14,188,90,171,491609,16
247,560376,610376,5,36810,4,8,7,162,65,157,371885,13
248,797219,887219,9,70983,2,3,14,160,105,134,519212,7
249,329200,339200,1,7601,4,4,8,170,140,166,173362,10
250,606071,676071,7,66185,3,3,20,150,110,193,375015,7
251,569834,649834,8,78648,4,6,15,153,130,174,310018,13
252,478924,568924,9,84420,5,6,6,180,114,163,186976,13
253,881281,901281,2,15176,1,6,9,149,54,185,717922,9
254,879247,949247,7,66941,5,3,6,176,71,139,647263,9
255,717612,727612,1,8558,4,1,10,155,123,125,561078,7
256,830675,840675,1,8048,5,9,6,175,52,80,673922,16
257,459984,549984,9,85410,2,8,17,167,93,184,167125,13
258,1098243,1168243,7,67704,3,10,10,174,58,128,865101,15
259,399632,409632,1,8592,2,3,12,189,105,134,243064,8
260,759261,859261,10,87330,1,6,20,167,120,167,423780,9
261,688268,748268,6,44106,3,1,6,192,88,182,488502,7
262,1111012,1131012,2,15860,4,2,12,155,94,139,947056,7
263,405006,425006,2,19684,3,2,11,153,86,181,237315,7
264,317018,387018,7,61950,2,5,17,157,109,96,90110,10
265,964942,1014942,5,35375,3,5,19,189,101,168,778206,9
266,589351,659351,7,68859,4,9,17,160,62,142,355054,16
267,868568,968568,10,85380,1,3,10,161,92,84,535304,5
268,642076,672076,3,27474,4,3,19,140,137,145,466208,9
269,992049,1052049,6,45438,5,10,13,191,58,199,790060,17
270,1093077,1143077,5,41880,1,3,19,174,86,136,900188,5
271,545963,615963,7,66136,4,9,6,154,123,92,314389,16
272,1180909,1240909,6,49956,1,4,10,200,53,173,975202,7
273,763216,773216,1,9982,4,10,19,185,53,81,604529,16
274,351124,391124,4,31748,4,10,6,140,61,118,169648,16
275,587440,647440,6,49134,2,2,18,176,139,94,382646,7
276,1099954,1179954,8,70960,5,3,17,157,140,119,847990,11
277,922276,982276,6,48234,1,2,15,140,59,178,718475,4
278,405041,425041,2,15572,1,8,19,144,85,96,241118,12
279,1184498,1214498,3,24315,5,9,19,163,113,173,1011236,16
280,908843,958843,5,44630,4,10,18,176,96,141,712384,17
281,767547,787547,2,18914,2,1,15,144,86,83,600810,5
282,764234,814234,5,49105,4,9,11,168,63,123,563373,16
283,793828,893828,10,84110,1,1,14,169,71,158,462022,5
284,826629,866629,4,37784,1,4,18,165,116,101,639846,8
285,379678,409678,3,22608,3,1,15,184,125,152,208943,5
286,1161467,1231467,7,69223,1,1,15,168,88,88,927741,4
287,986347,1036347,5,38315,1,10,18,146,134,198,796428,14
288,419930,469930,5,46865,4,10,6,150,125,136,221236,17
289,448239,478239,3,26862,1,6,15,187,116,193,272983,9
290,857723,877723,2,16590,3,6,12,150,118,95,692782,11
291,322742,342742,2,17060,5,10,15,183,124,186,156875,18
292,403533,423533,2,16378,4,4,18,155,89,155,238887,10
293,821048,871048,5,42110,1,9,15,176,120,156,627413,12
294,796673,856673,6,47190,1,8,12,181,90,111,593388,12
295,357382,407382,5,40595,1,10,7,186,107,139,165183,13
296,333735,363735,3,25932,3,5,16,144,76,115,159324,9
297,1022786,1032786,1,9512,3,1,8,149,127,135,865389,6
298,963228,1043228,8,65720,1,4,18,196,117,107,716765,8
299,1159895,1209895,5,36820,5,5,12,150,67,175,971550,11
300,960599,990599,3,22686,4,2,17,163,117,169,789606,9
301,598441,628441,3,23613,5,8,6,183,54,137,425954,16
302,957086,1027086,7,57946,4,7,6,172,96,140,733854,14
303,537601,587601,5,40360,2,1,16,186,52,176,346325,5
304,734711,834711,10,88400,2,10,20,153,70,154,397755,14
305,1146727,1166727,2,15292,1,10,6,184,123,99,982924,12
306,998193,1088193,9,87687,4,1,10,147,92,200,703482,6
307,989345,1089345,10,83550,4,8,10,152,109,93,657239,13
308,495955,575955,8,65336,1,8,16,149,113,131,249532,10
309,990707,1090707,10,72260,4,6,12,167,122,155,670047,11
310,670365,740365,7,69202,2,4,8,140,80,110,436292,8
311,527799,587799,6,43482,2,4,8,160,136,180,328477,7
312,695192,795192,10,89260,3,7,10,194,126,144,357532,13
313,977863,1017863,4,30112,1,10,20,153,57,162,798248,14
314,325866,345866,2,15954,1,3,20,186,103,182,161996,5
315,316769,346769,3,25857,5,2,20,200,125,92,142518,10
316,606458,636458,3,26748,3,9,20,148,75,108,430911,15
317,650569,750569,10,73100,4,2,11,153,73,142,329405,7
318,732616,772616,4,28172,4,3,15,141,126,115,555269,8
319,414478,434478,2,15646,4,4,11,150,96,121,250564,11
320,995206,1095206,10,81980,5,1,8,149,109,184,665162,7
321,659262,729262,7,54012,4,8,20,175,131,107,439887,14
322,509356,609356,10,94750,4,8,18,163,140,160,166050,15
323,792359,872359,8,75848,3,5,8,154,112,89,535507,9
324,575082,635082,6,59166,4,9,6,149,56,118,359509,16
325,1079290,1109290,3,21318,5,5,6,195,132,84,909329,12
326,922204,952204,3,23325,2,3,11,193,134,195,750661,6
327,998758,1088758,9,67446,3,8,11,193,139,115,723784,12
328,679324,779324,10,92490,5,10,12,188,132,199,338059,16
329,1124279,1134279,1,7374,1,5,19,193,140,166,968840,8
330,848990,938990,9,68130,4,5,16,175,88,96,573492,12
331,1038161,1068161,3,23673,1,7,20,181,82,170,866009,11
332,800205,830205,3,26604,5,4,19,180,89,136,625039,11
333,917193,997193,8,64936,3,2,18,144,115,148,671514,6
334,443619,543619,10,90400,4,1,19,194,106,181,105244,6
335,670927,750927,8,57984,3,1,10,171,60,81,432291,6
336,1026710,1056710,3,24792,5,3,17,149,136,168,853439,10
337,652470,712470,6,42906,5,6,11,143,121,167,453309,12
338,1017528,1057528,4,30436,2,10,17,175,99,146,837512,15
339,846781,876781,3,23304,3,8,6,191,79,101,674755,12
340,894158,974158,8,66248,4,9,7,155,120,110,646511,15
341,688320,768320,8,67360,4,3,11,162,85,196,440041,10
342,469397,499397,3,28719,2,3,19,162,128,194,292460,8
343,770461,870461,10,73570,5,5,7,152,68,94,448491,11
344,525262,615262,9,68229,1,4,15,178,67,97,250009,7
345,869104,959104,9,78246,5,2,20,142,96,85,583658,8
346,790141,850141,6,46848,5,2,16,189,53,190,587366,8
347,685631,735631,5,42820,3,10,13,174,71,113,491055,16
348,861461,881461,2,15190,5,7,14,148,123,110,697683,14
349,599905,699905,10,97390,4,4,19,158,135,197,254279,10
350,688052,788052,10,85860,1,10,12,165,92,128,353713,13
351,586793,656793,7,69979,5,4,7,187,79,166,351688,12
352,627985,727985,10,89520,3,7,12,159,79,168,290065,11
353,695747,745747,5,46785,3,2,10,180,59,139,497862,7
354,712823,782823,7,66983,1,2,8,143,51,200,481242,5
